WellID,Battery,CycleNumber,CycleStart,DurationMonths,Model,Qi,Di,B,RSquared,IsHighConfidence,LowConfidenceReason,EUR,NPV
ABWI100010306604W402,Mahihkan Battery 02-21,1,2024-04-01,5,exponential,4.459999976533997,1.810948599772554e-13,0.0,-4.5519144009631424e-14,False,short cycle (<6mo); low R2 (-0.00),,
ABWI100010306604W402,Mahihkan Battery 02-21,2,2024-09-01,4,exponential,52.72500000000001,1.482307095729197e-16,0.0,-2.220446049250313e-16,False,short cycle (<6mo); low R2 (-0.00),,
ABWI100010306604W402,Mahihkan Battery 02-21,3,2025-01-01,15,hyperbolic,204.90848069266173,0.3615597407204488,1.999999999999996,0.8382990381418406,False,b pinned at bound (2.000),,
ABWI100010306604W402,Mahihkan Battery 02-21,4,2026-04-01,3,,,,,,False,too few data points to fit,,
ABWI100010806604W400,Mahihkan Battery 02-21,1,2022-11-01,6,harmonic,981.4513685790575,0.1638857706358578,1.0,0.6434158504283536,True,,4354.09333411053,1251259.9289918067
ABWI100010806604W400,Mahihkan Battery 02-21,2,2023-05-01,8,harmonic,794.6077193436472,0.5986209511289127,1.0,0.002222750414527,False,low R2 (0.00),,
ABWI100010806604W400,Mahihkan Battery 02-21,3,2024-01-01,9,exponential,403.9888893359089,3.960088198682028e-17,0.0,1.1102230246251563e-16,False,low R2 (0.00),,
ABWI100010806604W400,Mahihkan Battery 02-21,4,2024-10-01,4,harmonic,1065.2780062532065,0.2080893529938159,1.0,0.3157335119069947,False,short cycle (<6mo); low R2 (0.32),,
ABWI100010806604W400,Mahihkan Battery 02-21,5,2025-02-01,8,exponential,896.5374999999999,1.1152431906279764e-23,0.0,0.0,False,low R2 (0.00),,
ABWI100010806604W400,Mahihkan Battery 02-21,6,2025-10-01,9,exponential,1600.8193568060203,0.1152247661401624,0.0,0.6676072446108434,True,,9494.399917949057,2937512.1477961456
ABWI100010906604W400,Mahihkan Battery 02-21,1,2022-06-01,8,harmonic,1054.0199285868907,0.1195489274739221,1.0,0.1168651401347796,False,low R2 (0.12),,
ABWI100010906604W400,Mahihkan Battery 02-21,2,2023-02-01,15,harmonic,1493.3385264271171,0.53762781203167,1.0,0.539542473622993,True,,6851.580484255295,2047431.939819868
ABWI100010906604W400,Mahihkan Battery 02-21,3,2024-05-01,8,harmonic,790.6617269189529,0.3398052303116479,1.0,0.7199495644000591,True,,3365.348873384738,917884.6925489302
ABWI100010906604W400,Mahihkan Battery 02-21,4,2025-01-01,14,harmonic,576.4702849553902,0.1622467708555912,1.0,0.4545684555584457,False,low R2 (0.45),,
ABWI100010906604W400,Mahihkan Battery 02-21,5,2026-03-01,4,harmonic,835.8999618469651,1.5716446585663193,1.0,0.9793188987353983,False,short cycle (<6mo),,
ABWI100012106604W400,Mahihkan Battery 02-21,1,2023-10-01,7,harmonic,115.02486385320005,0.0461432252250067,1.0,0.0285889480366152,False,low R2 (0.03),,
ABWI100012106604W400,Mahihkan Battery 02-21,2,2024-05-01,5,harmonic,197.4678681919054,0.8642238271114145,1.0,0.1602784897904888,False,short cycle (<6mo); low R2 (0.16),,
ABWI100012106604W400,Mahihkan Battery 02-21,3,2024-10-01,5,exponential,206.5238065436621,0.1943460259364786,0.0,0.911601367728466,False,short cycle (<6mo),,
ABWI100012106604W400,Mahihkan Battery 02-21,4,2025-03-01,5,exponential,139.95146745269065,0.3672490011477043,0.0,0.8062400594802345,False,short cycle (<6mo),,
ABWI100012106604W400,Mahihkan Battery 02-21,5,2025-08-01,9,exponential,80.25183405442435,0.0643950106740438,0.0,0.2259243957437642,False,low R2 (0.23),,
ABWI100012106604W400,Mahihkan Battery 02-21,6,2026-05-01,2,,,,,,False,too few data points to fit,,
