ProductionMonth,ReportingFacilityID,FromToID,ProductID,Volume,IsInjector
2022-01,ABBT0051212,ABWI102030806504W400,,,False
2022-01,ABBT0051212,ABWI100012106604W400,GAS,5.4,False
2022-01,ABBT0051212,ABWI100012206504W400,GAS,15.4,False
2022-01,ABBT0051212,ABWI100013406504W400,GAS,5.4,False
2022-01,ABBT0051212,ABWI100021506504W400,GAS,5.8,False
2022-01,ABBT0051212,ABWI100021506604W400,GAS,55.6,False
2022-01,ABBT0051212,ABWI100022006604W400,GAS,25.8,False
2022-01,ABBT0051212,ABWI100022206504W400,GAS,12.0,False
2022-01,ABBT0051212,ABWI100022906604W400,GAS,36.7,False
2022-01,ABBT0051212,ABWI100023406504W400,GAS,1.6,False
2022-01,ABBT0051212,ABWI100031506504W400,GAS,0.1,False
2022-01,ABBT0051212,ABWI100032206504W400,GAS,2.0,False
2022-01,ABBT0051212,ABWI100032306504W400,GAS,2.7,False
2022-01,ABBT0051212,ABWI100032706504W400,GAS,2.5,False
2022-01,ABBT0051212,ABWI100032806504W400,GAS,3.3,False
2022-01,ABBT0051212,ABWI100032806604W400,GAS,2.7,False
2022-01,ABBT0051212,ABWI100033206604W400,GAS,82.2,False
2022-01,ABBT0051212,ABWI100033306504W400,GAS,1.1,False
2022-01,ABBT0051212,ABWI100033406504W400,GAS,22.7,False
2022-01,ABBT0051212,ABWI100033406604W400,GAS,31.9,False
2022-01,ABBT0051212,ABWI100033506504W400,GAS,18.3,False
2022-01,ABBT0051212,ABWI100040306604W400,GAS,19.2,False
2022-01,ABBT0051212,ABWI100040906604W400,GAS,1.9,False
2022-01,ABBT0051212,ABWI100041506604W400,GAS,9.6,False
2022-01,ABBT0051212,ABWI100041606604W400,GAS,54.5,False
2022-01,ABBT0051212,ABWI100042206504W400,GAS,12.7,False
2022-01,ABBT0051212,ABWI100042306504W400,GAS,18.1,False
2022-01,ABBT0051212,ABWI100042506504W400,GAS,2.0,False
2022-01,ABBT0051212,ABWI100042806504W400,GAS,13.2,False
2022-01,ABBT0051212,ABWI100043406504W400,GAS,78.0,False
2022-01,ABBT0051212,ABWI100043506504W400,GAS,2.7,False
2022-01,ABBT0051212,ABWI100050906504W400,GAS,0.6,False
2022-01,ABBT0051212,ABWI100051506604W400,GAS,7.4,False
2022-01,ABBT0051212,ABWI100052206504W400,GAS,5.4,False
2022-01,ABBT0051212,ABWI100052706504W400,GAS,22.2,False
2022-01,ABBT0051212,ABWI100052806504W400,GAS,23.7,False
2022-01,ABBT0051212,ABWI100052806604W400,GAS,14.2,False
2022-01,ABBT0051212,ABWI100053306604W400,GAS,15.5,False
2022-01,ABBT0051212,ABWI100053506504W400,GAS,14.4,False
2022-01,ABBT0051212,ABWI100060306604W400,GAS,2.9,False
2022-01,ABBT0051212,ABWI100062106604W400,GAS,5.7,False
2022-01,ABBT0051212,ABWI100062606504W400,GAS,6.3,False
2022-01,ABBT0051212,ABWI100062706504W400,GAS,3.0,False
2022-01,ABBT0051212,ABWI100062706604W400,GAS,12.3,False
2022-01,ABBT0051212,ABWI100062806504W400,GAS,4.8,False
2022-01,ABBT0051212,ABWI100062806604W400,GAS,10.6,False
2022-01,ABBT0051212,ABWI100062906604W400,GAS,12.3,False
2022-01,ABBT0051212,ABWI100063206604W400,GAS,75.7,False
2022-01,ABBT0051212,ABWI100063406504W400,GAS,1.9,False
2022-01,ABBT0051212,ABWI100070306604W400,GAS,1.5,False
2022-01,ABBT0051212,ABWI100071506504W400,GAS,4.4,False
2022-01,ABBT0051212,ABWI100071506604W400,GAS,46.4,False
2022-01,ABBT0051212,ABWI100071606604W400,GAS,22.5,False
2022-01,ABBT0051212,ABWI100072106604W400,GAS,3.9,False
2022-01,ABBT0051212,ABWI100072206504W400,GAS,15.0,False
2022-01,ABBT0051212,ABWI100072806604W400,GAS,8.2,False
2022-01,ABBT0051212,ABWI100072906504W400,GAS,7.6,False
2022-01,ABBT0051212,ABWI100072906604W400,GAS,46.3,False
2022-01,ABBT0051212,ABWI100073306604W400,GAS,8.4,False
2022-01,ABBT0051212,ABWI100073406504W400,GAS,8.8,False
2022-01,ABBT0051212,ABWI100073506504W400,GAS,7.8,False
2022-01,ABBT0051212,ABWI100080306604W400,GAS,6.6,False
2022-01,ABBT0051212,ABWI100081606504W400,GAS,0.2,False
2022-01,ABBT0051212,ABWI100081606604W400,GAS,17.5,False
2022-01,ABBT0051212,ABWI100082606504W400,GAS,2.8,False
2022-01,ABBT0051212,ABWI100082806504W400,GAS,18.4,False
2022-01,ABBT0051212,ABWI100083406504W400,GAS,11.4,False
2022-01,ABBT0051212,ABWI100090406604W400,GAS,8.5,False
2022-01,ABBT0051212,ABWI100090506604W400,GAS,3.0,False
2022-01,ABBT0051212,ABWI100090906604W400,GAS,14.8,False
2022-01,ABBT0051212,ABWI100091606504W400,GAS,8.1,False
2022-01,ABBT0051212,ABWI100091606604W400,GAS,7.3,False
2022-01,ABBT0051212,ABWI100092106504W400,GAS,0.3,False
2022-01,ABBT0051212,ABWI100092206504W400,GAS,11.1,False
2022-01,ABBT0051212,ABWI100092706504W400,GAS,5.3,False
2022-01,ABBT0051212,ABWI100092806504W400,GAS,29.0,False
2022-01,ABBT0051212,ABWI100093306504W400,GAS,16.8,False
2022-01,ABBT0051212,ABWI100100406604W400,GAS,52.4,False
2022-01,ABBT0051212,ABWI100100806504W400,GAS,0.3,False
2022-01,ABBT0051212,ABWI100100906604W400,GAS,27.8,False
2022-01,ABBT0051212,ABWI100101506504W400,GAS,2.0,False
2022-01,ABBT0051212,ABWI100101606504W400,GAS,0.1,False
2022-01,ABBT0051212,ABWI100101606604W400,GAS,15.9,False
2022-01,ABBT0051212,ABWI100102006604W400,GAS,85.8,False
2022-01,ABBT0051212,ABWI100102206504W400,GAS,4.4,False
2022-01,ABBT0051212,ABWI100102706504W400,GAS,0.9,False
2022-01,ABBT0051212,ABWI100102806504W400,GAS,18.7,False
2022-01,ABBT0051212,ABWI100102806604W400,GAS,12.9,False
