Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence,NPV,IRR,payback_months
Mahihkan Battery 02-21,ABWI100010806604W400,1,2022-11-01,6,False,harmonic,981.4513685790575,0.1638857706358578,1.0,0.6434158504283536,False,,4354.09333411053,1,1251259.9289918067,,0.0
Mahihkan Battery 02-21,ABWI100010806604W400,6,2025-10-01,9,False,exponential,1600.8193568060203,0.1152247661401624,0.0,0.6676072446108434,False,,9494.399917949057,2,2937512.1477961456,,0.0
Mahihkan Battery 02-21,ABWI100010906604W400,2,2023-02-01,15,False,harmonic,1493.3385264271171,0.53762781203167,1.0,0.539542473622993,False,,6851.580484255295,1,2047431.9398198682,,0.0
Mahihkan Battery 02-21,ABWI100010906604W400,3,2024-05-01,8,False,harmonic,790.6617269189529,0.3398052303116479,1.0,0.7199495644000591,False,,3365.348873384738,2,917884.6925489302,,0.0
Mahihkan Battery 02-21,ABWI100012206504W400,1,2024-01-01,14,False,harmonic,411.0318572907088,0.0768816442427998,1.0,0.6075618714737976,False,,4014.603265848863,1,1102100.9132393284,697070.822874321,1.0
Mahihkan Battery 02-21,ABWI100012206504W400,2,2025-03-01,16,False,harmonic,353.0936508088522,0.0340722583818081,1.0,0.7890322514434907,False,,4572.107349701382,2,1268169.5034146856,38476.44294634829,1.0
Mahihkan Battery 02-21,ABWI100013406504W400,2,2022-11-01,11,False,harmonic,459.4719017226576,0.1417295858203604,1.0,0.549353903126315,False,,3190.715583153333,1,847211.9110681344,15668858.7384307,1.0
Mahihkan Battery 02-21,ABWI100020306604W400,5,2025-04-01,6,False,exponential,102.47776335189916,0.2544369402140309,0.0,0.8333955182246857,False,,357.0604549818234,1,-80644.33045797939,-0.9423056019420762,
Mahihkan Battery 02-21,ABWI100020906604W400,1,2022-10-01,11,False,harmonic,383.9056344985427,0.1919271297903564,1.0,0.6306671942289996,False,,2406.0590653545582,1,590849.7311215685,43030.3880794065,1.0
Mahihkan Battery 02-21,ABWI100021506504W400,1,2022-12-01,8,False,exponential,190.81763369700727,0.1066453312177683,0.0,0.5022478458115038,False,,1082.6575087590436,1,158609.34813468158,21.303376207971674,3.0
Mahihkan Battery 02-21,ABWI100021506604W400,2,2024-08-01,23,False,exponential,1604.1990333283488,0.0451377101414637,0.0,0.7523894269192752,False,,23477.217787825368,1,7216995.270994179,,0.0
Mahihkan Battery 02-21,ABWI100022006604W400,2,2023-10-01,10,False,harmonic,883.6491639908415,0.2629272099606715,1.0,0.8068242644697434,False,,4670.043563162667,1,1341528.1567964312,,0.0
Mahihkan Battery 02-21,ABWI100022006604W400,5,2025-10-01,9,False,exponential,683.1528167223927,0.1762607916981665,0.0,0.8946501288103811,False,,3362.1801381424,2,914348.5722661574,,0.0
Mahihkan Battery 02-21,ABWI100022906604W400,2,2025-03-01,6,False,exponential,451.2888705306749,0.4329576469877954,0.0,0.8875682221854092,False,,1188.6171905489134,1,198653.38109388907,193879.61967980795,1.0
Mahihkan Battery 02-21,ABWI100023406504W400,3,2025-03-01,9,False,harmonic,205.7891706301261,0.1314228736280643,1.0,0.5457193802182443,False,,1279.8568776478146,1,222418.02884012193,39.83350865712308,3.0
Mahihkan Battery 02-21,ABWI100023506504W400,2,2024-03-01,13,False,exponential,231.74287372998904,0.1528719263656416,0.0,0.8056075788935005,False,,1410.6915291287346,1,263506.01408367074,61.857919920626934,2.0
Mahihkan Battery 02-21,ABWI100023506504W400,3,2025-04-01,7,False,harmonic,156.44930324336482,1.882258175603192,1.0,0.9810238096776356,False,,313.1995556438616,2,-94921.35110676145,-0.9797566870416508,
Mahihkan Battery 02-21,ABWI100031506504W400,2,2023-01-01,6,False,harmonic,103.40753651086852,0.4288535754166451,1.0,0.7062683887032853,False,,347.63595117399257,1,-83834.52350901568,-0.9452005960292607,
Mahihkan Battery 02-21,ABWI100031506504W400,4,2024-03-01,9,False,exponential,137.6059002980466,0.3748992293999339,0.0,0.870065122010315,False,,425.0652275260364,2,-58011.094871593996,-0.8307216601897438,
Mahihkan Battery 02-21,ABWI100032206504W400,1,2022-08-01,14,False,exponential,67.90479580307431,0.0623029377621608,0.0,0.7806946842065936,False,,654.2795913787966,1,12437.308708518802,0.26136818547484153,11.0
Mahihkan Battery 02-21,ABWI100032806504W400,4,2025-06-01,8,False,exponential,144.82628102454294,0.474856245023145,0.0,0.8999358246948631,False,,374.5320433608718,1,-74480.57086377987,-0.9456607125480352,
Mahihkan Battery 02-21,ABWI100032806604W400,3,2024-01-01,15,False,exponential,307.4524804908428,0.1131963714285129,0.0,0.5298023238394782,False,,2346.845552346097,1,565148.0928326756,1768.0487395807113,2.0
Mahihkan Battery 02-21,ABWI100032806604W400,4,2025-04-01,7,False,harmonic,122.2459430927124,1.6678132256832627,1.0,0.6261819863357325,False,,256.7584534107437,2,-113906.58550669224,-0.9900722381055167,
Mahihkan Battery 02-21,ABWI100032806604W400,5,2025-11-01,6,False,harmonic,58.74721507541136,0.3376611117502351,1.0,0.7048558897784772,False,,213.76028840551976,3,-128622.32759541212,-0.9920611481194535,
Mahihkan Battery 02-21,ABWI100033206604W400,1,2022-05-01,21,False,exponential,2327.052667103773,0.1444977774097156,0.0,0.926754077689363,False,,16464.00421728679,1,5152584.848987624,,0.0
Mahihkan Battery 02-21,ABWI100033406604W400,1,2022-09-01,14,False,harmonic,803.6956964655619,0.5824657075379325,1.0,0.931795239888804,False,,3450.5923629219847,1,934828.8984936925,,0.0
Mahihkan Battery 02-21,ABWI100033406604W400,2,2023-11-01,6,False,harmonic,180.46999984122232,1.923609572383148,1.0,0.9291860553121182,False,,343.8376745785368,2,-84453.53580107378,-0.9833220796993111,
Mahihkan Battery 02-21,ABWI100040306604W400,1,2023-05-01,10,False,exponential,743.3680384639545,0.1222259328519329,0.0,0.7371511693934663,False,,4557.943421461661,1,1303042.8751914364,,0.0
Mahihkan Battery 02-21,ABWI100040306604W400,4,2025-10-01,9,False,harmonic,852.3648631923231,0.589084295377135,1.0,0.8149827028232095,False,,3061.628217293537,2,817293.552644281,,0.0
Mahihkan Battery 02-21,ABWI100040906604W400,4,2025-07-01,6,False,exponential,341.27305666218825,0.5461885804965141,0.0,0.7617453413294765,False,,780.3184071330815,1,62172.69387718044,40.1090633126892,2.0
Mahihkan Battery 02-21,ABWI100040906604W400,5,2026-01-01,6,False,exponential,369.0242175769888,0.3113138996481527,0.0,0.861646438744796,False,,1166.3909552162868,2,190336.99022396444,2963.813862585254,1.0
Mahihkan Battery 02-21,ABWI100041006604W400,1,2023-02-01,7,False,exponential,652.8319767956024,0.1614811816423681,0.0,0.6488661876211401,False,,2964.261844686923,1,786340.8751748096,,0.0
Mahihkan Battery 02-21,ABWI100041006604W400,3,2024-04-01,11,False,exponential,746.83859963792,0.1396270130989989,0.0,0.7053996472223045,False,,4497.266415469444,2,1281443.2581590656,,0.0
