Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence
Mahihkan Battery 02-21,ABWI100010806604W400,1,2022-11-01,6,False,harmonic,981.4513685790575,0.1638857706358578,1.0,0.6434158504283536,False,,4100.831682030216,1
Mahihkan Battery 02-21,ABWI100010806604W400,6,2025-10-01,9,False,exponential,1600.8193568060203,0.1152247661401624,0.0,0.6676072446108434,False,,8967.82252701111,2
Mahihkan Battery 02-21,ABWI100010906604W400,2,2023-02-01,15,False,harmonic,1493.3385264271171,0.53762781203167,1.0,0.539542473622993,False,,6122.917167918695,1
Mahihkan Battery 02-21,ABWI100010906604W400,3,2024-05-01,8,False,harmonic,790.6617269189529,0.3398052303116479,1.0,0.7199495644000591,False,,3055.8086987643856,2
Mahihkan Battery 02-21,ABWI100012206504W400,2,2025-03-01,16,False,harmonic,353.0936508088522,0.0340722583818081,1.0,0.7890322514434907,False,,4509.236223605066,1
Mahihkan Battery 02-21,ABWI100013406504W400,2,2022-11-01,11,False,harmonic,459.4719017226576,0.1417295858203604,1.0,0.549353903126315,False,,3046.1669128832077,1
Mahihkan Battery 02-21,ABWI100020306604W400,5,2025-04-01,6,False,exponential,102.47776335189916,0.2544369402140309,0.0,0.8333955182246857,False,,315.255243799021,1
Mahihkan Battery 02-21,ABWI100020906604W400,1,2022-10-01,11,False,harmonic,383.9056344985427,0.1919271297903564,1.0,0.6306671942289996,False,,2270.3198151143856,1
Mahihkan Battery 02-21,ABWI100021506504W400,1,2022-12-01,8,False,exponential,190.81763369700732,0.1066453312177683,0.0,0.5022478458115038,False,,1026.9259743730056,1
Mahihkan Battery 02-21,ABWI100021506604W400,2,2024-08-01,23,False,exponential,1604.1990333283488,0.0451377101414637,0.0,0.7523894269192752,False,,22955.2468382015,1
Mahihkan Battery 02-21,ABWI100022006604W400,2,2023-10-01,10,False,harmonic,883.6491639908415,0.2629272099606715,1.0,0.8068242644697434,False,,4332.195750288482,1
Mahihkan Battery 02-21,ABWI100022006604W400,5,2025-10-01,9,False,exponential,683.1528167223927,0.1762607916981665,0.0,0.8946501288103811,False,,3082.538290319631,2
Mahihkan Battery 02-21,ABWI100022906604W400,2,2025-03-01,6,False,exponential,451.2888705306749,0.4329576469877954,0.0,0.8875682221854092,False,,964.7465371574916,1
Mahihkan Battery 02-21,ABWI100023406504W400,3,2025-03-01,9,False,harmonic,205.7891706301261,0.1314228736280643,1.0,0.5457193802182443,False,,1222.3239006762844,1
Mahihkan Battery 02-21,ABWI100023506504W400,2,2024-03-01,13,False,exponential,231.74287372998904,0.1528719263656416,0.0,0.8056075788935005,False,,1308.1548336093124,1
Mahihkan Battery 02-21,ABWI100023506504W400,3,2025-04-01,7,False,harmonic,156.44930324336482,1.882258175603192,1.0,0.9810238096776356,False,,220.39010882682882,2
Mahihkan Battery 02-21,ABWI100031506504W400,2,2023-01-01,6,False,harmonic,103.40753651086852,0.4288535754166451,1.0,0.7062683887032853,False,,307.05876410765,1
Mahihkan Battery 02-21,ABWI100031506504W400,4,2024-03-01,9,False,exponential,137.6059002980466,0.3748992293999339,0.0,0.870065122010315,False,,354.4766234576836,2
Mahihkan Battery 02-21,ABWI100032206504W400,1,2022-08-01,14,False,exponential,67.90479580307431,0.0623029377621608,0.0,0.7806946842065936,False,,634.3145908255005,1
Mahihkan Battery 02-21,ABWI100032806504W400,4,2025-06-01,8,False,exponential,144.82628102454294,0.474856245023145,0.0,0.8999358246948631,False,,298.15902957470195,1
Mahihkan Battery 02-21,ABWI100032806604W400,3,2024-01-01,15,False,exponential,341.77900547008625,0.208259869022554,0.0,0.6989886634662523,False,,1568.9327401821051,1
Mahihkan Battery 02-21,ABWI100032806604W400,4,2025-04-01,7,False,harmonic,122.2459430927124,1.6678132256832627,1.0,0.6261819863357325,False,,186.14595693124235,2
Mahihkan Battery 02-21,ABWI100032806604W400,5,2025-11-01,6,False,harmonic,58.74721507541136,0.3376611117502351,1.0,0.7048558897784772,False,,192.6390454434651,3
Mahihkan Battery 02-21,ABWI100033206604W400,1,2022-05-01,21,False,exponential,2327.052667103773,0.1444977774097156,0.0,0.926754077689363,False,,15329.780567706975,1
Mahihkan Battery 02-21,ABWI100033406604W400,1,2022-09-01,14,False,harmonic,803.6956964655619,0.5824657075379325,1.0,0.931795239888804,False,,3055.255190743555,1
Mahihkan Battery 02-21,ABWI100033406604W400,2,2023-11-01,6,False,harmonic,180.46999984122232,1.9236095723831477,1.0,0.9291860553121182,False,,237.27199532433016,2
Mahihkan Battery 02-21,ABWI100040306604W400,1,2023-05-01,10,False,exponential,743.3680384639545,0.1222259328519329,0.0,0.7371511693934663,False,,4290.404165631216,1
Mahihkan Battery 02-21,ABWI100040306604W400,4,2025-10-01,9,False,harmonic,852.3648631923231,0.589084295377135,1.0,0.8149827028232095,False,,2663.5538496647237,2
Mahihkan Battery 02-21,ABWI100040906604W400,4,2025-07-01,6,False,exponential,341.27305666218825,0.5461885804965141,0.0,0.7617453413294765,False,,601.2477543425437,1
Mahihkan Battery 02-21,ABWI100040906604W400,5,2026-01-01,6,False,exponential,369.0242175769888,0.3113138996481527,0.0,0.861646438744796,False,,1002.2949319398784,2
