price_scenario,wti_price_usd_per_bbl,wcs_price_usd_per_bbl,discount_rate_annual,total_NPV
low_50,50.0,33.0,0.08,341574084.2741305
low_50,50.0,33.0,0.1,336131024.4658457
low_50,50.0,33.0,0.15,323285076.5110594
mid_70,70.0,53.0,0.08,1078748168.5482612
mid_70,70.0,53.0,0.1,1067862048.9316916
mid_70,70.0,53.0,0.15,1042170153.0221188
high_90,90.0,73.0,0.08,1815922252.8223915
high_90,90.0,73.0,0.1,1799593073.3975372
high_90,90.0,73.0,0.15,1761055229.5331783
live,83.9,66.9,0.08,1591084157.118782
live,83.9,66.9,0.1,1576415110.9354544
live,83.9,66.9,0.15,1541795281.1973052
