Battery,FromToID,n_cycles,total_NPV,total_EUR
Nabiye 11-23,ABWI105110806603W400,1,40215283.53810377,126990.38734349392
Nabiye 11-23,ABWI119120806603W400,1,35656476.07322131,111779.7418066719
Nabiye 11-23,ABWI110131706603W400,1,34810902.72773765,108921.38624542308
Nabiye 11-23,ABWI103032006603W400,1,20706167.12404127,65548.46272716142
Nabiye 11-23,ABWI112131706603W400,1,20495593.222857904,63290.5316100568
Nabiye 11-23,ABWI115131706603W400,1,20371271.20428004,62609.55004823039
Mahihkan Battery 02-21,ABWI106121006604W400,1,18844892.33366472,59440.93134137554
Mahihkan Battery 02-21,ABWI108041006604W402,2,15144815.830432717,48056.62501003963
Nabiye 11-23,ABWI104032006603W400,1,14313234.968284763,43732.73737742072
Mahihkan Battery 02-21,ABWI107121006604W402,1,12988912.450230062,41893.14202019845
Mahihkan Battery 02-21,ABWI103130906604W400,2,12213359.423090648,38551.981222015325
Mahihkan Battery 02-21,ABWI107140306604W400,2,11880345.307977824,38224.47044984196
Mahihkan Battery 02-21,ABWI104121006604W400,2,11174622.333756503,36060.83193977298
Mahihkan Battery 02-21,ABWI106150406604W400,1,10904135.465420557,34370.12926539325
Mahihkan Battery 02-21,ABWI105121006604W400,2,10833159.867949707,34586.20931664888
Nabiye 11-23,ABWI100152606603W400,3,10580694.93829035,33862.22597930604
Mahihkan Battery 02-21,ABWI102011506604W402,2,10550355.86062232,33923.616363813155
Mahihkan Battery 02-21,ABWI109051006604W400,1,9871594.421648143,31061.708066866704
Mahihkan Battery 02-21,ABWI113051006604W400,2,9596097.191243386,30392.29964031416
Mahihkan Battery 02-21,ABWI102100406604W400,1,9492065.207080783,30438.352813391408
Mahihkan Battery 02-21,ABWI103020906604W400,2,9332858.328250319,29448.00203644537
Mahihkan Battery 02-21,ABWI109150406604W400,3,8719023.529194899,27973.833481539732
Mahihkan Battery 02-21,ABWI102161006604W400,3,8389458.823366046,27411.588319792387
Mahihkan Battery 02-21,ABWI107051006604W400,1,7543037.802533823,23774.30392786373
Mahihkan Battery 02-21,ABWI100100406604W400,1,7410008.363051255,23288.07038980705
Nabiye 11-23,ABWI100091406603W400,3,7306228.892038766,23984.749577723043
Mahihkan Battery 02-21,ABWI102101506604W400,2,7295560.926764105,23982.901347180956
Mahihkan Battery 02-21,ABWI105051006604W400,3,7222641.402495578,23547.327195158716
Mahihkan Battery 02-21,ABWI100021506604W400,1,7216995.270994179,23477.217787825368
Mahihkan Battery 02-21,ABWI100161006604W400,2,7007704.0615483755,22924.48019828768
Nabiye 11-23,ABWI102103506603W402,2,6591096.597839054,20970.230472004805
Nabiye 11-23,ABWI100070706602W400,3,6584410.227946372,21936.343461107583
Nabiye 11-23,ABWI103143106602W400,2,6520520.552383995,20957.005864179333
Mahihkan Battery 02-21,ABWI111051006604W400,1,6511203.051534808,20794.601754488976
Mahihkan Battery 02-21,ABWI107150406604W400,2,6437997.777973909,20537.809127804103
Nabiye 11-23,ABWI100153506603W400,2,6397132.665360466,20562.01806947084
Mahihkan Battery 02-21,ABWI102160406604W400,2,6334932.426467203,20958.98801111565
Mahihkan Battery 02-21,ABWI102142906604W400,3,6320261.269409695,21366.890175670585
Mahihkan Battery 02-21,ABWI104051006604W400,3,6230416.043228247,20603.997134344045
